Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt,100,132,0-1-2-3-4-5-0
No.,Cost,Execution Times [ms]
1.,132,29
2.,132,31
3.,132,39
4.,132,23
5.,132,23
6.,132,23
7.,132,23
8.,132,33
9.,132,36
10.,132,34
11.,132,23
12.,132,27
13.,132,29
14.,132,27
15.,132,24
16.,132,24
17.,132,28
18.,132,28
19.,132,32
20.,132,24
21.,132,27
22.,132,30
23.,132,29
24.,132,25
25.,132,27
26.,132,28
27.,132,27
28.,132,28
29.,132,23
30.,132,24
31.,132,34
32.,132,26
33.,132,23
34.,132,36
35.,132,27
36.,132,25
37.,132,23
38.,132,25
39.,132,28
40.,132,24
41.,132,26
42.,132,24
43.,132,34
44.,132,23
45.,132,23
46.,132,48
47.,132,24
48.,132,45
49.,132,43
50.,132,26
51.,132,27
52.,132,24
53.,132,27
54.,132,27
55.,132,25
56.,132,29
57.,132,42
58.,132,23
59.,132,24
60.,132,28
61.,132,28
62.,132,26
63.,132,32
64.,132,23
65.,132,44
66.,132,23
67.,132,28
68.,132,24
69.,132,28
70.,132,23
71.,132,24
72.,132,25
73.,132,22
74.,132,22
75.,132,23
76.,132,22
77.,132,22
78.,132,24
79.,132,23
80.,132,29
81.,132,22
82.,132,23
83.,132,40
84.,132,23
85.,132,22
86.,132,32
87.,132,22
88.,132,24
89.,132,35
90.,132,35
91.,132,22
92.,132,23
93.,132,23
94.,132,23
95.,132,22
96.,132,31
97.,132,24
98.,132,24
99.,132,29
100.,132,23
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_2.txt,100,80,0-5-1-2-3-4-0
No.,Cost,Execution Times [ms]
1.,80,25
2.,80,22
3.,80,32
4.,80,23
5.,80,24
6.,80,23
7.,80,23
8.,80,24
9.,80,23
10.,80,24
11.,80,24
12.,80,23
13.,80,23
14.,80,28
15.,80,25
16.,80,24
17.,80,23
18.,80,23
19.,80,23
20.,80,24
21.,80,32
22.,80,23
23.,80,23
24.,80,23
25.,80,26
26.,80,26
27.,80,24
28.,80,23
29.,80,32
30.,80,23
31.,80,23
32.,80,23
33.,80,23
34.,80,22
35.,80,24
36.,80,23
37.,80,24
38.,80,23
39.,80,23
40.,80,24
41.,80,37
42.,80,23
43.,80,23
44.,80,23
45.,80,39
46.,80,23
47.,80,23
48.,80,23
49.,80,23
50.,80,25
51.,80,23
52.,80,26
53.,80,23
54.,80,23
55.,80,24
56.,80,23
57.,80,24
58.,80,24
59.,80,23
60.,80,23
61.,80,23
62.,80,23
63.,80,24
64.,80,24
65.,80,23
66.,80,23
67.,80,23
68.,80,24
69.,80,23
70.,80,23
71.,80,23
72.,80,23
73.,80,30
74.,80,24
75.,80,23
76.,80,24
77.,80,23
78.,80,49
79.,80,23
80.,80,23
81.,80,23
82.,80,49
83.,80,46
84.,80,31
85.,80,23
86.,80,23
87.,80,37
88.,80,23
89.,80,23
90.,80,23
91.,80,23
92.,80,41
93.,80,24
94.,80,26
95.,80,24
96.,80,23
97.,80,23
98.,80,81
99.,80,23
100.,80,23
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_10.txt,100,212,0-3-4-2-8-7-6-9-1-5-0
No.,Cost,Execution Times [ms]
1.,212,134260
2.,212,137153
3.,212,135085
4.,212,135302
5.,212,134937
6.,212,137397
7.,212,134529
8.,212,135035
9.,212,134494
10.,212,138001
11.,212,134637
12.,212,133557
13.,212,133303
14.,212,138118
15.,212,135155
16.,212,133417
17.,212,133992
18.,212,135415
19.,212,134734
20.,212,134890
21.,212,135222
22.,212,133398
23.,212,133378
24.,212,134397
25.,212,134960
26.,212,134917
27.,212,133654
28.,212,133625
29.,212,133091
30.,212,132791
31.,212,133298
32.,212,132950
33.,212,132801
34.,212,134844
35.,212,133490
36.,212,134996
37.,212,134109
38.,212,135839
