Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp7_random.txt,100,-1,None
No.,Cost,Execution Times [ms]
1.,254,0.399
2.,254,0.058
3.,254,0.069
4.,254,0.047
5.,254,0.047
6.,254,0.047
7.,254,0.055
8.,254,0.047
9.,254,0.056
10.,254,0.083
11.,254,0.107
12.,254,0.066
13.,254,0.064
14.,254,0.063
15.,254,0.057
16.,254,0.048
17.,254,0.046
18.,254,0.076
19.,254,0.056
20.,254,0.067
21.,254,0.065
22.,254,0.05
23.,254,0.064
24.,254,0.059
25.,254,0.048
26.,254,0.05
27.,254,0.059
28.,254,0.064
29.,254,0.063
30.,254,0.058
31.,254,0.067
32.,254,0.064
33.,254,0.049
34.,254,0.05
35.,254,0.054
36.,254,0.056
37.,254,0.047
38.,254,0.055
39.,254,0.067
40.,254,0.049
41.,254,0.068
42.,254,0.05
43.,254,0.055
44.,254,0.047
45.,254,0.049
46.,254,0.06
47.,254,0.071
48.,254,0.05
49.,254,0.047
50.,254,0.047
51.,254,0.065
52.,254,0.061
53.,254,0.096
54.,254,0.048
55.,254,0.048
56.,254,0.048
57.,254,0.048
58.,254,0.071
59.,254,0.085
60.,254,0.047
61.,254,0.055
62.,254,0.054
63.,254,0.047
64.,254,0.057
65.,254,0.046
66.,254,0.046
67.,254,0.046
68.,254,0.046
69.,254,0.049
70.,254,0.048
71.,254,0.047
72.,254,0.047
73.,254,0.047
74.,254,0.047
75.,254,0.063
76.,254,0.046
77.,254,0.051
78.,254,0.055
79.,254,0.054
80.,254,0.046
81.,254,0.047
82.,254,0.047
83.,254,0.047
84.,254,0.046
85.,254,0.047
86.,254,0.049
87.,254,0.047
88.,254,0.047
89.,254,0.056
90.,254,0.048
91.,254,0.046
92.,254,0.046
93.,254,0.046
94.,254,0.046
95.,254,0.06
96.,254,0.054
97.,254,0.047
98.,254,0.046
99.,254,0.057
100.,254,0.047
Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp8_random.txt,100,-1,None
No.,Cost,Execution Times [ms]
1.,156,0.439
2.,156,0.432
3.,156,0.568
4.,156,0.456
5.,156,0.438
6.,156,0.428
7.,156,0.436
8.,156,0.439
9.,156,0.427
10.,156,0.433
11.,156,0.428
12.,156,0.425
13.,156,0.427
14.,156,0.434
15.,156,0.437
16.,156,0.439
17.,156,0.428
18.,156,0.43
19.,156,0.432
20.,156,0.432
21.,156,0.43
22.,156,0.44
23.,156,0.43
24.,156,0.443
25.,156,0.441
26.,156,0.458
27.,156,0.441
28.,156,0.436
29.,156,0.44
30.,156,0.435
31.,156,0.494
32.,156,0.443
33.,156,0.436
34.,156,0.428
35.,156,0.432
36.,156,0.493
37.,156,0.478
38.,156,0.429
39.,156,0.43
