Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt,100,132,0-1-2-3-4-5-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,8,0,0,0%
2.,20,0,0,0%
3.,22,0,0,0%
4.,15,0,0,0%
5.,14,0,0,0%
6.,6,0,0,0%
7.,7,0,0,0%
8.,15,0,0,0%
9.,15,0,0,0%
10.,14,0,0,0%
11.,14,0,0,0%
12.,7,0,0,0%
13.,7,0,0,0%
14.,26,0,0,0%
15.,7,0,0,0%
16.,14,0,0,0%
17.,14,0,0,0%
18.,7,0,0,0%
19.,7,0,0,0%
20.,14,0,0,0%
21.,7,0,0,0%
22.,7,0,0,0%
23.,21,0,0,0%
24.,7,0,0,0%
25.,7,0,0,0%
26.,6,0,0,0%
27.,6,0,0,0%
28.,7,0,0,0%
29.,6,0,0,0%
30.,7,0,0,0%
31.,6,0,0,0%
32.,14,0,0,0%
33.,20,0,0,0%
34.,15,0,0,0%
35.,6,0,0,0%
36.,6,0,0,0%
37.,6,0,0,0%
38.,46,0,0,0%
39.,7,0,0,0%
40.,7,0,0,0%
41.,7,0,0,0%
42.,6,0,0,0%
43.,14,0,0,0%
44.,33,0,0,0%
45.,27,0,0,0%
46.,14,0,0,0%
47.,7,0,0,0%
48.,14,0,0,0%
49.,7,0,0,0%
50.,6,0,0,0%
51.,28,0,0,0%
52.,15,0,0,0%
53.,7,0,0,0%
54.,6,0,0,0%
55.,14,0,0,0%
56.,34,0,0,0%
57.,7,0,0,0%
58.,14,0,0,0%
59.,27,0,0,0%
60.,30,0,0,0%
61.,7,0,0,0%
62.,14,0,0,0%
63.,7,0,0,0%
64.,6,0,0,0%
65.,7,0,0,0%
66.,6,0,0,0%
67.,6,0,0,0%
68.,14,0,0,0%
69.,14,0,0,0%
70.,7,0,0,0%
71.,6,0,0,0%
72.,6,0,0,0%
73.,6,0,0,0%
74.,14,0,0,0%
75.,6,0,0,0%
76.,32,0,0,0%
77.,7,0,0,0%
78.,7,0,0,0%
79.,6,0,0,0%
80.,6,0,0,0%
81.,7,0,0,0%
82.,6,0,0,0%
83.,6,0,0,0%
84.,6,0,0,0%
85.,6,0,0,0%
86.,6,0,0,0%
87.,6,0,0,0%
88.,6,0,0,0%
89.,6,0,0,0%
90.,6,0,0,0%
91.,6,0,0,0%
92.,6,0,0,0%
93.,6,0,0,0%
94.,6,0,0,0%
95.,6,0,0,0%
96.,6,0,0,0%
97.,6,0,0,0%
98.,6,0,0,0%
99.,6,0,0,0%
100.,6,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_2.txt,100,80,0-5-1-2-3-4-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,28,0,0,0%
2.,22,0,0,0%
3.,14,0,0,0%
4.,11,0,0,0%
5.,20,0,0,0%
6.,8,0,0,0%
7.,14,0,0,0%
8.,7,0,0,0%
9.,14,0,0,0%
10.,14,0,0,0%
11.,7,0,0,0%
12.,14,0,0,0%
13.,7,0,0,0%
14.,7,0,0,0%
15.,31,0,0,0%
16.,7,0,0,0%
17.,6,0,0,0%
18.,7,0,0,0%
19.,7,0,0,0%
20.,14,0,0,0%
21.,14,0,0,0%
22.,14,0,0,0%
23.,83,0,0,0%
24.,32,0,0,0%
25.,14,0,0,0%
26.,13,0,0,0%
27.,14,0,0,0%
28.,29,0,0,0%
29.,7,0,0,0%
30.,28,0,0,0%
31.,29,0,0,0%
32.,30,0,0,0%
33.,29,0,0,0%
34.,30,0,0,0%
35.,14,0,0,0%
36.,7,0,0,0%
37.,14,0,0,0%
38.,8,0,0,0%
39.,7,0,0,0%
40.,14,0,0,0%
41.,7,0,0,0%
42.,7,0,0,0%
43.,7,0,0,0%
44.,13,0,0,0%
45.,14,0,0,0%
46.,25,0,0,0%
47.,14,0,0,0%
48.,14,0,0,0%
49.,23,0,0,0%
50.,29,0,0,0%
