Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp7_random.txt 2 254 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,12200,254,0,0,0%
2.,7300,254,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp8_random.txt 2 156 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,15200,156,0,0,0%
2.,9300,156,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp9_random.txt 2 279 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,33900,319,40,0.143369,14.3369%
2.,10100,319,40,0.143369,14.3369%
Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp10_random.txt 2 275 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,17100,296,21,0.0763636,7.63636%
2.,17300,296,21,0.0763636,7.63636%
Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp11_random.txt 2 295 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,15800,348,53,0.179661,17.9661%
2.,15600,348,53,0.179661,17.9661%
Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp12_random.txt 2 316 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,18100,358,42,0.132911,13.2911%
2.,38600,358,42,0.132911,13.2911%
Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp13_random.txt 2 338 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,21200,364,26,0.0769231,7.69231%
2.,56100,364,26,0.0769231,7.69231%
Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp14_random.txt 2 366 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,31900,372,6,0.0163934,1.63934%
2.,29600,372,6,0.0163934,1.63934%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp7_random.txt 2 290 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,14300,290,0,0,0%
2.,7800,290,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp8_random.txt 2 321 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,8000,331,10,0.0311526,3.11526%
2.,7400,331,10,0.0311526,3.11526%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp9_random.txt 2 372 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,12700,377,5,0.0134409,1.34409%
2.,10200,377,5,0.0134409,1.34409%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_10.txt 2 212 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,46000,213,1,0.00471698,0.471698%
2.,24000,213,1,0.00471698,0.471698%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp11_random.txt 2 362 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,23100,371,9,0.0248619,2.48619%
2.,22300,371,9,0.0248619,2.48619%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_12.txt 1 264 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,35300,264,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_13.txt 1 269 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,34700,269,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_14.txt 1 282 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,36100,282,0,0,0%
