Instance Name,Repetitions,Optimal Cost,Optimal Path
gr17.tsp 5 2085 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,53200,2178,93,0.0446043,4.46043%
2.,38800,2178,93,0.0446043,4.46043%
3.,28900,2178,93,0.0446043,4.46043%
4.,41500,2178,93,0.0446043,4.46043%
5.,61900,2178,93,0.0446043,4.46043%
Instance Name,Repetitions,Optimal Cost,Optimal Path
bays29.tsp 5 2020 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,401700,2134,114,0.0564356,5.64356%
2.,253500,2134,114,0.0564356,5.64356%
3.,257700,2134,114,0.0564356,5.64356%
4.,251600,2134,114,0.0564356,5.64356%
5.,264000,2134,114,0.0564356,5.64356%
Instance Name,Repetitions,Optimal Cost,Optimal Path
swiss42.tsp 5 1273 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,1374100,1437,164,0.12883,12.883%
2.,1377300,1437,164,0.12883,12.883%
3.,1676600,1437,164,0.12883,12.883%
4.,1422700,1437,164,0.12883,12.883%
5.,1382000,1437,164,0.12883,12.883%
Instance Name,Repetitions,Optimal Cost,Optimal Path
berlin52.tsp 2 7542 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,419500,8181,639,0.0847255,8.47255%
2.,403300,8181,639,0.0847255,8.47255%
Instance Name,Repetitions,Optimal Cost,Optimal Path
st70.tsp 2 675 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,94082400,735,60,0.0888889,8.88889%
2.,95234500,735,60,0.0888889,8.88889%
Instance Name,Repetitions,Optimal Cost,Optimal Path
pr124.tsp 2 59030 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,11017400,66805,7775,0.131713,13.1713%
2.,10627700,66805,7775,0.131713,13.1713%
Instance Name,Repetitions,Optimal Cost,Optimal Path
br17.atsp 5 39 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,84098800,39,0,0,0%
2.,85615700,39,0,0,0%
3.,84877100,39,0,0,0%
4.,82791800,39,0,0,0%
5.,86473900,39,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
ftv35.atsp 5 1473 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,216100,1667,194,0.131704,13.1704%
2.,195700,1667,194,0.131704,13.1704%
3.,205400,1667,194,0.131704,13.1704%
4.,214900,1667,194,0.131704,13.1704%
5.,196200,1667,194,0.131704,13.1704%
Instance Name,Repetitions,Optimal Cost,Optimal Path
ry48p.atsp 5 14422 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,391100,15575,1153,0.0799473,7.99473%
2.,383300,15575,1153,0.0799473,7.99473%
3.,395100,15575,1153,0.0799473,7.99473%
4.,384300,15575,1153,0.0799473,7.99473%
5.,388400,15575,1153,0.0799473,7.99473%
Instance Name,Repetitions,Optimal Cost,Optimal Path
ftv55.atsp 2 1608 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,778200,1948,340,0.211443,21.1443%
2.,876000,1948,340,0.211443,21.1443%
Instance Name,Repetitions,Optimal Cost,Optimal Path
ft70.atsp 2 38673 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,944600,41815,3142,0.0812453,8.12453%
2.,940200,41815,3142,0.0812453,8.12453%
Instance Name,Repetitions,Optimal Cost,Optimal Path
kro124.atsp 2 36230 None
No.,Execution Time (ns),Result,Absolute error,Relative error,Relative error %
1.,2483300,43316,7086,0.195584,19.5584%
2.,2459000,43316,7086,0.195584,19.5584%
