Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt 100 132 0-1-2-3-4-5-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,8000,0,0,0%
2.,3200,0,0,0%
3.,5800,0,0,0%
4.,4700,0,0,0%
5.,1800,0,0,0%
6.,10400,0,0,0%
7.,11500,0,0,0%
8.,3200,0,0,0%
9.,3200,0,0,0%
10.,3100,0,0,0%
11.,11200,0,0,0%
12.,10400,0,0,0%
13.,19300,0,0,0%
14.,3800,0,0,0%
15.,4100,0,0,0%
16.,5600,0,0,0%
17.,9600,0,0,0%
18.,10300,0,0,0%
19.,4900,0,0,0%
20.,4500,0,0,0%
21.,10200,0,0,0%
22.,10300,0,0,0%
23.,10000,0,0,0%
24.,5000,0,0,0%
25.,3700,0,0,0%
26.,12000,0,0,0%
27.,9900,0,0,0%
28.,4400,0,0,0%
29.,10300,0,0,0%
30.,4000,0,0,0%
31.,3500,0,0,0%
32.,10400,0,0,0%
33.,11400,0,0,0%
34.,13500,0,0,0%
35.,4700,0,0,0%
36.,4100,0,0,0%
37.,4000,0,0,0%
38.,6300,0,0,0%
39.,5500,0,0,0%
40.,6200,0,0,0%
41.,4700,0,0,0%
42.,6300,0,0,0%
43.,4200,0,0,0%
44.,4500,0,0,0%
45.,4500,0,0,0%
46.,11800,0,0,0%
47.,4500,0,0,0%
48.,4400,0,0,0%
49.,4900,0,0,0%
50.,21700,0,0,0%
51.,3300,0,0,0%
52.,4500,0,0,0%
53.,4000,0,0,0%
54.,5500,0,0,0%
55.,3300,0,0,0%
56.,5000,0,0,0%
57.,5000,0,0,0%
58.,5600,0,0,0%
59.,3100,0,0,0%
60.,5400,0,0,0%
61.,4900,0,0,0%
62.,6600,0,0,0%
63.,5100,0,0,0%
64.,3200,0,0,0%
65.,3600,0,0,0%
66.,10600,0,0,0%
67.,3000,0,0,0%
68.,4400,0,0,0%
69.,4900,0,0,0%
70.,3700,0,0,0%
71.,3500,0,0,0%
72.,3300,0,0,0%
73.,5500,0,0,0%
74.,3300,0,0,0%
75.,2900,0,0,0%
76.,4100,0,0,0%
77.,3100,0,0,0%
78.,2900,0,0,0%
79.,4800,0,0,0%
80.,3200,0,0,0%
81.,4900,0,0,0%
82.,4300,0,0,0%
83.,3600,0,0,0%
84.,6100,0,0,0%
85.,3100,0,0,0%
86.,3300,0,0,0%
87.,3300,0,0,0%
88.,4600,0,0,0%
89.,3200,0,0,0%
90.,5100,0,0,0%
91.,3100,0,0,0%
92.,6100,0,0,0%
93.,11800,0,0,0%
94.,4100,0,0,0%
95.,9800,0,0,0%
96.,8900,0,0,0%
97.,4500,0,0,0%
98.,3900,0,0,0%
99.,5100,0,0,0%
100.,3500,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_2.txt 100 80 0-5-1-2-3-4-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,3900,18,0.225,22.5%
2.,3900,18,0.225,22.5%
3.,4300,18,0.225,22.5%
4.,2600,18,0.225,22.5%
5.,3800,18,0.225,22.5%
6.,2000,18,0.225,22.5%
7.,2300,18,0.225,22.5%
8.,11600,18,0.225,22.5%
9.,3800,18,0.225,22.5%
10.,3600,18,0.225,22.5%
11.,2500,18,0.225,22.5%
12.,5100,18,0.225,22.5%
13.,13900,18,0.225,22.5%
14.,3300,18,0.225,22.5%
15.,2700,18,0.225,22.5%
16.,2100,18,0.225,22.5%
17.,11400,18,0.225,22.5%
18.,4500,18,0.225,22.5%
19.,3000,18,0.225,22.5%
20.,2900,18,0.225,22.5%
21.,2800,18,0.225,22.5%
22.,2100,18,0.225,22.5%
23.,11600,18,0.225,22.5%
24.,2700,18,0.225,22.5%
25.,2300,18,0.225,22.5%
26.,4500,18,0.225,22.5%
27.,2500,18,0.225,22.5%
28.,2100,18,0.225,22.5%
29.,4000,18,0.225,22.5%
30.,2000,18,0.225,22.5%
31.,3000,18,0.225,22.5%
32.,1900,18,0.225,22.5%
33.,10800,18,0.225,22.5%
34.,10600,18,0.225,22.5%
35.,2700,18,0.225,22.5%
36.,3000,18,0.225,22.5%
37.,2800,18,0.225,22.5%
38.,1700,18,0.225,22.5%
39.,2400,18,0.225,22.5%
40.,3100,18,0.225,22.5%
41.,1800,18,0.225,22.5%
42.,1900,18,0.225,22.5%
43.,1800,18,0.225,22.5%
44.,2000,18,0.225,22.5%
45.,2800,18,0.225,22.5%
46.,1700,18,0.225,22.5%
47.,1700,18,0.225,22.5%
48.,1900,18,0.225,22.5%
49.,1800,18,0.225,22.5%
50.,1900,18,0.225,22.5%
51.,3100,18,0.225,22.5%
52.,2200,18,0.225,22.5%
53.,2500,18,0.225,22.5%
54.,1900,18,0.225,22.5%
55.,1700,18,0.225,22.5%
56.,1900,18,0.225,22.5%
57.,1900,18,0.225,22.5%
58.,1900,18,0.225,22.5%
59.,1800,18,0.225,22.5%
60.,3000,18,0.225,22.5%
61.,2600,18,0.225,22.5%
62.,1800,18,0.225,22.5%
63.,2500,18,0.225,22.5%
64.,1800,18,0.225,22.5%
65.,1800,18,0.225,22.5%
66.,1800,18,0.225,22.5%
67.,1900,18,0.225,22.5%
68.,1800,18,0.225,22.5%
69.,2700,18,0.225,22.5%
70.,1900,18,0.225,22.5%
71.,2100,18,0.225,22.5%
72.,3100,18,0.225,22.5%
73.,2800,18,0.225,22.5%
74.,3100,18,0.225,22.5%
75.,5000,18,0.225,22.5%
76.,3300,18,0.225,22.5%
77.,2700,18,0.225,22.5%
78.,2900,18,0.225,22.5%
79.,2300,18,0.225,22.5%
80.,3200,18,0.225,22.5%
81.,5300,18,0.225,22.5%
82.,3700,18,0.225,22.5%
83.,3600,18,0.225,22.5%
84.,3600,18,0.225,22.5%
85.,13800,18,0.225,22.5%
86.,3300,18,0.225,22.5%
87.,2300,18,0.225,22.5%
88.,2000,18,0.225,22.5%
89.,2400,18,0.225,22.5%
90.,5700,18,0.225,22.5%
91.,3500,18,0.225,22.5%
92.,3200,18,0.225,22.5%
93.,3600,18,0.225,22.5%
94.,2600,18,0.225,22.5%
95.,2100,18,0.225,22.5%
96.,2000,18,0.225,22.5%
97.,2300,18,0.225,22.5%
98.,1900,18,0.225,22.5%
99.,2900,18,0.225,22.5%
100.,3900,18,0.225,22.5%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_10.txt 100 212 0-3-4-2-8-7-6-9-1-5-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,9000,1,0.00471698,0.471698%
2.,8300,1,0.00471698,0.471698%
3.,7000,1,0.00471698,0.471698%
4.,7300,1,0.00471698,0.471698%
5.,5800,1,0.00471698,0.471698%
6.,3900,1,0.00471698,0.471698%
7.,3700,1,0.00471698,0.471698%
8.,7700,1,0.00471698,0.471698%
9.,8200,1,0.00471698,0.471698%
10.,5900,1,0.00471698,0.471698%
11.,5200,1,0.00471698,0.471698%
12.,4200,1,0.00471698,0.471698%
13.,5200,1,0.00471698,0.471698%
14.,4000,1,0.00471698,0.471698%
15.,3700,1,0.00471698,0.471698%
16.,7200,1,0.00471698,0.471698%
17.,10000,1,0.00471698,0.471698%
18.,7800,1,0.00471698,0.471698%
19.,7600,1,0.00471698,0.471698%
20.,5500,1,0.00471698,0.471698%
21.,7600,1,0.00471698,0.471698%
22.,5900,1,0.00471698,0.471698%
23.,6600,1,0.00471698,0.471698%
24.,9400,1,0.00471698,0.471698%
25.,8000,1,0.00471698,0.471698%
26.,6000,1,0.00471698,0.471698%
27.,7100,1,0.00471698,0.471698%
28.,4900,1,0.00471698,0.471698%
29.,6400,1,0.00471698,0.471698%
30.,4800,1,0.00471698,0.471698%
31.,6300,1,0.00471698,0.471698%
32.,6500,1,0.00471698,0.471698%
33.,7500,1,0.00471698,0.471698%
34.,7300,1,0.00471698,0.471698%
35.,5500,1,0.00471698,0.471698%
36.,4500,1,0.00471698,0.471698%
37.,4500,1,0.00471698,0.471698%
38.,15200,1,0.00471698,0.471698%
39.,18800,1,0.00471698,0.471698%
