Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt 100 132 0-1-2-3-4-5-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,15700,0,0,0%
2.,10600,0,0,0%
3.,8900,0,0,0%
4.,11200,0,0,0%
5.,50400,0,0,0%
6.,10800,0,0,0%
7.,10000,0,0,0%
8.,10700,0,0,0%
9.,11400,0,0,0%
10.,9300,0,0,0%
11.,7600,0,0,0%
12.,5800,0,0,0%
13.,11500,0,0,0%
14.,11400,0,0,0%
15.,8100,0,0,0%
16.,10100,0,0,0%
17.,10900,0,0,0%
18.,10400,0,0,0%
19.,9800,0,0,0%
20.,9400,0,0,0%
21.,19300,0,0,0%
22.,8200,0,0,0%
23.,11100,0,0,0%
24.,10100,0,0,0%
25.,10200,0,0,0%
26.,10500,0,0,0%
27.,9000,0,0,0%
28.,9400,0,0,0%
29.,9700,0,0,0%
30.,9500,0,0,0%
31.,7600,0,0,0%
32.,8800,0,0,0%
33.,10500,0,0,0%
34.,10300,0,0,0%
35.,298000,0,0,0%
36.,25300,0,0,0%
37.,7600,0,0,0%
38.,11300,0,0,0%
39.,10200,0,0,0%
40.,10400,0,0,0%
41.,10000,0,0,0%
42.,12400,0,0,0%
43.,10100,0,0,0%
44.,10700,0,0,0%
45.,9600,0,0,0%
46.,11200,0,0,0%
47.,11300,0,0,0%
48.,10000,0,0,0%
49.,11500,0,0,0%
50.,11400,0,0,0%
51.,11000,0,0,0%
52.,11600,0,0,0%
53.,10000,0,0,0%
54.,9700,0,0,0%
55.,11100,0,0,0%
56.,9800,0,0,0%
57.,9400,0,0,0%
58.,9200,0,0,0%
59.,10300,0,0,0%
60.,9500,0,0,0%
61.,9500,0,0,0%
62.,10000,0,0,0%
63.,9500,0,0,0%
64.,8200,0,0,0%
65.,8600,0,0,0%
66.,8100,0,0,0%
67.,9900,0,0,0%
68.,8500,0,0,0%
69.,10100,0,0,0%
70.,8900,0,0,0%
71.,10100,0,0,0%
72.,9100,0,0,0%
73.,7600,0,0,0%
74.,8600,0,0,0%
75.,8600,0,0,0%
76.,9600,0,0,0%
77.,8600,0,0,0%
78.,8300,0,0,0%
79.,9300,0,0,0%
80.,9400,0,0,0%
81.,5500,0,0,0%
82.,9300,0,0,0%
83.,9700,0,0,0%
84.,9300,0,0,0%
85.,11000,0,0,0%
86.,9900,0,0,0%
87.,9300,0,0,0%
88.,8500,0,0,0%
89.,9000,0,0,0%
90.,10000,0,0,0%
91.,9700,0,0,0%
92.,9200,0,0,0%
93.,9200,0,0,0%
94.,9000,0,0,0%
95.,7700,0,0,0%
96.,10200,0,0,0%
97.,9400,0,0,0%
98.,9100,0,0,0%
99.,9200,0,0,0%
100.,11100,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_2.txt 100 80 0-5-1-2-3-4-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,22500,18,0.225,22.5%
2.,9500,18,0.225,22.5%
3.,8800,18,0.225,22.5%
4.,10400,18,0.225,22.5%
5.,9800,18,0.225,22.5%
6.,9600,18,0.225,22.5%
7.,7300,18,0.225,22.5%
8.,10900,18,0.225,22.5%
9.,10100,18,0.225,22.5%
10.,11400,18,0.225,22.5%
11.,10000,18,0.225,22.5%
12.,11600,18,0.225,22.5%
13.,7900,18,0.225,22.5%
14.,10900,18,0.225,22.5%
15.,9000,18,0.225,22.5%
16.,12700,18,0.225,22.5%
17.,9600,18,0.225,22.5%
18.,10400,18,0.225,22.5%
19.,10300,18,0.225,22.5%
20.,10800,18,0.225,22.5%
21.,11500,18,0.225,22.5%
22.,11200,18,0.225,22.5%
23.,11200,18,0.225,22.5%
24.,10300,18,0.225,22.5%
25.,10500,18,0.225,22.5%
26.,9300,18,0.225,22.5%
27.,7000,18,0.225,22.5%
28.,9300,18,0.225,22.5%
29.,10400,18,0.225,22.5%
30.,10700,18,0.225,22.5%
31.,10700,18,0.225,22.5%
32.,7000,18,0.225,22.5%
33.,10900,18,0.225,22.5%
34.,9500,18,0.225,22.5%
35.,10600,18,0.225,22.5%
36.,9600,18,0.225,22.5%
37.,7400,18,0.225,22.5%
38.,6000,18,0.225,22.5%
39.,9300,18,0.225,22.5%
40.,10800,18,0.225,22.5%
41.,11600,18,0.225,22.5%
42.,9100,18,0.225,22.5%
43.,10100,18,0.225,22.5%
44.,10300,18,0.225,22.5%
45.,11000,18,0.225,22.5%
46.,9000,18,0.225,22.5%
47.,10200,18,0.225,22.5%
48.,9000,18,0.225,22.5%
49.,9300,18,0.225,22.5%
50.,9800,18,0.225,22.5%
51.,5700,18,0.225,22.5%
52.,7600,18,0.225,22.5%
53.,8000,18,0.225,22.5%
54.,9900,18,0.225,22.5%
55.,8900,18,0.225,22.5%
56.,10100,18,0.225,22.5%
57.,9100,18,0.225,22.5%
58.,10900,18,0.225,22.5%
59.,8700,18,0.225,22.5%
60.,9500,18,0.225,22.5%
61.,9700,18,0.225,22.5%
62.,9500,18,0.225,22.5%
63.,8500,18,0.225,22.5%
64.,9400,18,0.225,22.5%
65.,5600,18,0.225,22.5%
66.,8800,18,0.225,22.5%
67.,9200,18,0.225,22.5%
68.,8400,18,0.225,22.5%
69.,8400,18,0.225,22.5%
70.,7100,18,0.225,22.5%
71.,5600,18,0.225,22.5%
72.,12100,18,0.225,22.5%
