Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt 100 132 0-1-2-3-4-5-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,13800,0,0,0%
2.,6400,0,0,0%
3.,7000,0,0,0%
4.,4700,0,0,0%
5.,4100,0,0,0%
6.,5500,0,0,0%
7.,6300,0,0,0%
8.,5800,0,0,0%
9.,6000,0,0,0%
10.,5000,0,0,0%
11.,6500,0,0,0%
12.,5800,0,0,0%
13.,5200,0,0,0%
14.,6700,0,0,0%
15.,6500,0,0,0%
16.,6300,0,0,0%
17.,5700,0,0,0%
18.,4700,0,0,0%
19.,4500,0,0,0%
20.,165500,0,0,0%
21.,6900,0,0,0%
22.,7600,0,0,0%
23.,7200,0,0,0%
24.,4900,0,0,0%
25.,6600,0,0,0%
26.,5900,0,0,0%
27.,6300,0,0,0%
28.,9800,0,0,0%
29.,6400,0,0,0%
30.,6700,0,0,0%
31.,4600,0,0,0%
32.,6000,0,0,0%
33.,7000,0,0,0%
34.,5400,0,0,0%
35.,47400,0,0,0%
36.,7100,0,0,0%
37.,6000,0,0,0%
38.,6400,0,0,0%
39.,5600,0,0,0%
40.,7700,0,0,0%
41.,7700,0,0,0%
42.,6600,0,0,0%
43.,5000,0,0,0%
44.,6000,0,0,0%
45.,4500,0,0,0%
46.,6400,0,0,0%
47.,5300,0,0,0%
48.,5700,0,0,0%
49.,7000,0,0,0%
50.,6200,0,0,0%
51.,6300,0,0,0%
52.,5700,0,0,0%
53.,4500,0,0,0%
54.,6500,0,0,0%
55.,4500,0,0,0%
56.,5100,0,0,0%
57.,4700,0,0,0%
58.,7000,0,0,0%
59.,5900,0,0,0%
60.,5800,0,0,0%
61.,5600,0,0,0%
62.,6500,0,0,0%
63.,4100,0,0,0%
64.,3400,0,0,0%
65.,6400,0,0,0%
66.,5900,0,0,0%
67.,6400,0,0,0%
68.,5700,0,0,0%
69.,5900,0,0,0%
70.,5800,0,0,0%
71.,6300,0,0,0%
72.,7300,0,0,0%
73.,7100,0,0,0%
74.,6800,0,0,0%
75.,6200,0,0,0%
76.,6000,0,0,0%
77.,5300,0,0,0%
78.,6400,0,0,0%
79.,4300,0,0,0%
80.,7300,0,0,0%
81.,8300,0,0,0%
