Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
br17.atsp,4,300,39,None
No.,Execution Time (us),Result,Absolute error,Relative error,Relative error %
1.,3477373,39,0,0,0%
2.,4805770,39,0,0,0%
3.,754132,39,0,0,0%
4.,4832378,39,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
ftv35.atsp,4,300,1473,None
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
br17.atsp,4,300,39,None
No.,Execution Time (us),Result,Absolute error,Relative error,Relative error %
1.,10499971,39,0,0,0%
2.,9420658,39,0,0,0%
3.,4675709,39,0,0,0%
4.,110125,39,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
ftv35.atsp,4,300,1473,None
No.,Execution Time (us),Result,Absolute error,Relative error,Relative error %
1.,300024929,3057,1584,1.07536,107.536%
2.,300042127,2951,1478,1.00339,100.339%
3.,300047499,2990,1517,1.02987,102.987%
4.,300087150,3102,1629,1.10591,110.591%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
ry48p.atsp,4,300,14422,None
No.,Execution Time (us),Result,Absolute error,Relative error,Relative error %
1.,300043719,32749,18327,1.27077,127.077%
2.,300004861,32262,17840,1.237,123.7%
3.,300100206,33062,18640,1.29247,129.247%
4.,300105372,32965,18543,1.28574,128.574%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
ftv55.atsp,4,300,1608,None
No.,Execution Time (us),Result,Absolute error,Relative error,Relative error %
1.,300124293,5026,3418,2.12562,212.562%
2.,300012091,5033,3425,2.12998,212.998%
3.,300003322,5115,3507,2.18097,218.097%
4.,300031803,5082,3474,2.16045,216.045%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
ft70.atsp,4,300,38673,None
No.,Execution Time (us),Result,Absolute error,Relative error,Relative error %
1.,300067553,61185,22512,0.582112,58.2112%
2.,300064885,60901,22228,0.574768,57.4768%
3.,300059034,60616,21943,0.567398,56.7398%
4.,300000422,60689,22016,0.569286,56.9286%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
kro124.atsp,4,300,36230,None
No.,Execution Time (us),Result,Absolute error,Relative error,Relative error %
1.,300127414,142019,105789,2.91993,291.993%
2.,300148269,140516,104286,2.87844,287.844%
3.,300138298,138304,102074,2.81739,281.739%
4.,300213932,139096,102866,2.83925,283.925%
