Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt,10,132,0-1-2-3-4-5-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,19607,0,0,0%
2.,16458,0,0,0%
3.,18628,0,0,0%
4.,16215,0,0,0%
5.,16122,0,0,0%
6.,16272,0,0,0%
7.,15598,0,0,0%
8.,16076,0,0,0%
9.,16391,0,0,0%
10.,16031,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_2.txt,10,80,0-5-1-2-3-4-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,15852,0,0,0%
2.,16403,0,0,0%
3.,16668,0,0,0%
4.,17333,0,0,0%
5.,17446,0,0,0%
6.,16240,0,0,0%
7.,16185,0,0,0%
8.,16107,0,0,0%
9.,15581,0,0,0%
10.,15909,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_10.txt,10,212,0-3-4-2-8-7-6-9-1-5-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,26375,0,0,0%
2.,27669,0,0,0%
3.,26745,0,0,0%
4.,27744,0,0,0%
5.,27396,0,0,0%
6.,27166,0,0,0%
7.,27335,0,0,0%
8.,27149,0,0,0%
9.,26363,0,0,0%
10.,26287,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_12.txt,10,264,0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,31695,37,0.140152,14.0152%
2.,34824,34,0.128788,12.8788%
3.,34198,20,0.0757576,7.57576%
4.,33889,19,0.0719697,7.19697%
5.,31707,52,0.19697,19.697%
6.,31412,22,0.0833333,8.33333%
7.,32609,20,0.0757576,7.57576%
8.,34475,36,0.136364,13.6364%
9.,32538,34,0.128788,12.8788%
10.,32446,34,0.128788,12.8788%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_13.txt,10,269,0-10-3-5-7-9-11-2-6-4-8-1-12-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,35680,34,0.126394,12.6394%
2.,34777,64,0.237918,23.7918%
3.,35946,54,0.200743,20.0743%
4.,37248,71,0.263941,26.3941%
5.,36782,69,0.256506,25.6506%
6.,35386,44,0.163569,16.3569%
7.,35233,43,0.159851,15.9851%
8.,34552,69,0.256506,25.6506%
9.,34741,52,0.193309,19.3309%
10.,36943,42,0.156134,15.6134%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_14.txt,10,282,0-10-3-5-7-9-13-11-2-6-4-8-1-12-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,37419,78,0.276596,27.6596%
2.,36774,83,0.294326,29.4326%
3.,38260,58,0.205674,20.5674%
4.,38863,63,0.223404,22.3404%
5.,40044,75,0.265957,26.5957%
6.,38995,71,0.251773,25.1773%
7.,42609,73,0.258865,25.8865%
8.,37476,72,0.255319,25.5319%
9.,36971,66,0.234043,23.4043%
10.,38629,77,0.27305,27.305%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_15.txt,10,291,0-12-1-14-8-4-6-2-11-13-9-7-5-3-10-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,43546,73,0.250859,25.0859%
2.,41250,100,0.343643,34.3643%
3.,39915,82,0.281787,28.1787%
4.,41958,83,0.285223,28.5223%
5.,47993,68,0.233677,23.3677%
6.,45551,56,0.19244,19.244%
7.,41061,101,0.347079,34.7079%
8.,40857,86,0.295533,29.5533%
9.,42026,101,0.347079,34.7079%
10.,46101,98,0.33677,33.677%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_17.txt,10,39,0-11-13-2-9-10-1-12-15-14-5-6-3-4-7-8-16-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,47230,12,0.307692,30.7692%
2.,45367,6,0.153846,15.3846%
3.,46650,10,0.25641,25.641%
4.,49247,8,0.205128,20.5128%
5.,45988,9,0.230769,23.0769%
6.,46472,5,0.128205,12.8205%
7.,47807,11,0.282051,28.2051%
8.,47217,5,0.128205,12.8205%
9.,48226,13,0.333333,33.3333%
10.,48334,13,0.333333,33.3333%
