Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt,1,132,0-1-2-3-4-5-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,46,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_2.txt,1,80,0-5-1-2-3-4-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,72,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_10.txt,1,212,0-3-4-2-8-7-6-9-1-5-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,2544,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_12.txt,1,264,0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,22720,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt,1,132,0-1-2-3-4-5-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,67,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_2.txt,1,80,0-5-1-2-3-4-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,284,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_10.txt,1,212,0-3-4-2-8-7-6-9-1-5-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,1921,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_12.txt,1,264,0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,6671,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_13.txt,1,269,0-10-3-5-7-9-11-2-6-4-8-1-12-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,30037,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_14.txt,1,282,0-10-3-5-7-9-13-11-2-6-4-8-1-12-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,86055,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt,10,132,0-1-2-3-4-5-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,41,0,0,0%
2.,33,0,0,0%
3.,27,0,0,0%
4.,33,0,0,0%
5.,100,0,0,0%
6.,31,0,0,0%
7.,28,0,0,0%
8.,28,0,0,0%
9.,27,0,0,0%
10.,20,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_2.txt,10,80,0-5-1-2-3-4-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,1247,0,0,0%
2.,135,0,0,0%
3.,83,0,0,0%
4.,120,0,0,0%
5.,265,0,0,0%
6.,401,0,0,0%
7.,124,0,0,0%
8.,118,0,0,0%
9.,100,0,0,0%
10.,103,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_10.txt,10,212,0-3-4-2-8-7-6-9-1-5-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,1954,0,0,0%
2.,1665,0,0,0%
3.,2307,0,0,0%
4.,2202,0,0,0%
5.,2380,0,0,0%
6.,2209,0,0,0%
7.,1993,0,0,0%
8.,2566,0,0,0%
9.,2308,0,0,0%
10.,1507,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_12.txt,10,264,0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,5472,0,0,0%
2.,4753,0,0,0%
3.,5330,0,0,0%
4.,4953,0,0,0%
5.,4879,0,0,0%
6.,4885,0,0,0%
7.,4844,0,0,0%
8.,4767,0,0,0%
9.,4853,0,0,0%
10.,4748,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_13.txt,10,269,0-10-3-5-7-9-11-2-6-4-8-1-12-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,18168,0,0,0%
2.,18376,0,0,0%
3.,18057,0,0,0%
4.,25127,0,0,0%
5.,25377,0,0,0%
6.,31834,0,0,0%
7.,40045,0,0,0%
8.,21183,0,0,0%
9.,21190,0,0,0%
10.,20738,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_14.txt,10,282,0-10-3-5-7-9-13-11-2-6-4-8-1-12-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,89591,0,0,0%
2.,67535,0,0,0%
3.,64867,0,0,0%
4.,92813,0,0,0%
5.,63937,0,0,0%
6.,88954,0,0,0%
7.,68278,0,0,0%
8.,66699,0,0,0%
9.,69541,0,0,0%
10.,91070,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_15.txt,10,291,0-12-1-14-8-4-6-2-11-13-9-7-5-3-10-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,179993,0,0,0%
2.,214663,0,0,0%
3.,174621,0,0,0%
4.,189713,0,0,0%
5.,180297,0,0,0%
6.,184096,0,0,0%
7.,194327,0,0,0%
8.,175278,0,0,0%
9.,194658,0,0,0%
10.,176862,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_17.txt,1,39,0-11-13-2-9-10-1-12-15-14-5-6-3-4-7-8-16-0
